,,Total,Cases male,Cases female,Total,Deaths male,Deaths female,Total,Male,Female,Male:female ratio,
Pakistan,4-Mar,"2,458",,,35,,,1.40%,,,,http://covid.gov.pk/stats/pakistan
Philippines,4-Mar,3018,60%,40%,136,,,4.50%,,,,https://ncovtracker.doh.gov.ph/
Poland,4-Mar,3149,,,59,,,1.90%,,,,https://www.gov.pl/web/korowirus/wykaz-zarazen-korowirusem-sars-cov-2
Portugal,4-Mar,"9,886",44%,56%,246,58%,42%,2.50%,3.30%,1.90%,1.75,https://covid19.min-saude.pt/wp-content/uploads/2020/04/32_DGS_boletim_20200403.pdf
Republic of Ireland,4-Feb,3282,48%,51%,98,69%,31%,3.00%,4.30%,1.80%,2.39,https://www.gov.ie/en/news/7e0924-latest-updates-on-covid-19-corovirus/
Romania,4-Mar,3183,41%,55%,122,,,3.80%,,,,https://datelazi.ro/
Russia,4-Mar,4149,,,34,,,0.80%,,,,https://www.worldometers.info/corovirus/
Saudi Arabia,4-Mar,2039,,,25,,,1.20%,,,,https://www.worldometers.info/corovirus/
South Korea,4-Mar,10062,40%,60%,174,53%,47%,1.70%,2.30%,1.40%,1.69,https://www.cdc.go.kr/board/board.es?mid=a30402000000&bid=0030
Spain*,4-Mar,70684,49%,51%,4543,63%,37%,6.40%,8.60%,4.80%,1.79,https://www.mscbs.gob.es/profesioles/saludPublica/ccayes/alertasActual/nCov-Chi/documentos/Actualizacion_64_COVID-19.pdf
Sweden,4-Mar,6078,51%,49%,333,59%,41%,5.50%,6.40%,4.60%,1.4,https://fohm.maps.arcgis.com/apps/opsdashboard/index.html#/68d4537bf2714e63b646c37f152f1392
Switzerland,4-Mar,19303,48%,52%,484,63%,37%,2.50%,3.30%,1.80%,1.88,https://www.bag.admin.ch/bag/fr/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/situation-schweiz-und-intertiol.html#1164290551
Thailand,31/03,1651,55%,39%,10,,,0.60%,,,,https://ddc.moph.go.th/viralpneumonia/eng/file/situation/situation-no88-310363.pdf
The Netherlands,4-Mar,15723,49%,51%,1487,61%,39%,9.50%,11.80%,7.20%,1.63,https://www.rivm.nl/documenten/epidemiologische-situatie-covid-19-in-nederland-3-april-2020
Turkey,4-Mar,18135,,,356,,,2.00%,,,,https://covid19.saglik.gov.tr/
UK,4-Mar,38168,,,3605,,,9.40%,,,,https://www.gov.uk/guidance/corovirus-covid-19-information-for-the-public
USA,4-Mar,239279,,,5443,,,2.30%,,,,https://www.cdc.gov/corovirus/2019-ncov/cases-updates/cases-in-us.html
,,,,,,,,,,,,
,Sex-disaggregated cases and deaths,,,,,,,,,,,
,Sex-disaggregated cases,,,,,,,,,,,
,No sex-disaggregated data on cases or deaths,,,,,,,,,,,
,Data point not available,,,,,,,,,,,
